No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
254,"Formic acid, 3.75",2800000000.0,9.447158031,64-18-6,O=CO,1,,https:// doi. org/ 10. 1039/ B2126 66D,halogeneted,Halogenated organics
255,Formate,4200000000.0,9.62324929,114609-31-3,C(=O)[O-],6,,https:// doi. org/ 10. 1039/ A9071 33D,halogeneted,Halogenated organics
256,"Acetic acid, 4.75",200000000.0,8.301029996,64-19-7,CC(=O)[O-].[H+],2,,https:// doi. org/ 10. 1039/ F1988 84033 19,alkane,Aliphatic hydrocarbons
257,"Acetic acid, 4.75",32000000.0,7.505149978,64-19-7,CC(=O)[O-].[H+],1,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
258,"Acetic acid, 4.75",100000000.0,8.0,64-19-7,CC(=O)[O-].[H+],1,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
259,Acetate,3700000000.0,9.568201724,64392-62-7,CC(=O)[O-],6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
260,"Propionic acid, 4.88",800000000.0,8.903089987,1979/9/4,CCC(O)=O,2,,https:// doi. org/ 10. 1039/ F1988 84033 19,alkane,Aliphatic hydrocarbons
261,"Propionic acid, 4.88",1200000000.0,9.079181246,1979/9/4,CCC(O)=O,1,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
262,"Isobutyric acid, 4.86",1700000000.0,9.230448921,79-31-2,CC(C)C(=O)O,1,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
263,Diethyl ether,1300000000.0,9.113943352,8013-43-2,CCOCC,5.8,,https:// doi. org/ 10. 1039/ B2126 66D,alcohol,Oxygenated organics
264,Methyl-tert-butyl ether,1300000000.0,9.113943352,1219795-06-8,CC(C)(C)OC,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alcohol,Oxygenated organics
265,Methyl formate,20000000.0,7.301029996,137847-51-9,COC=O,4,,https:// doi. org/ 10. 1039/ b1019 32p,alcohol,Oxygenated organics
266,Ethyl formate,72000000.0,7.857332496,73222-61-4,CCOC=O,4,,https:// doi. org/ 10. 1039/ b1019 32p,alcohol,Oxygenated organics
267,Methyl acetate,14000000.0,7.146128036,68683-25-0,CC(=O)OC,4,,https:// doi. org/ 10. 1039/ b1019 32p,alcohol,Oxygenated organics
268,Ethyl acetate,80000000.0,7.903089987,62018-65-9,CCOC(=O)C,4,,https:// doi. org/ 10. 1039/ b1019 32p,alcohol,Oxygenated organics
269,"Acetylacetone, 8.9",2900000000.0,9.462397998,123-54-6,CC(=O)CC(C)=O,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
270,"Fumaric acid, 3.03, 4.44",3000000000.0,9.477121255,110-17-8,O=C(/C=C/C(O)=O)O,2,,https:// doi. org/ 10. 1039/ F1988 84033 19,diol,Polyfunctional / highly functionalized
271,β-Cyclocitral,9580000000.0,9.981365509,432-25-7,CC1=C(C=O)C(C)(C)CCC1,7,,https:// doi. org/ 10. 1016/j. cej. 2019. 122659,cyclo,Aromatic & PAHs
272,"1,4-Dioxan",3000000000.0,9.477121255,1330756-20-1,C1COCCO1,,,https://d oi.o rg/1 0. 1039/ C6EW0 0242K,alcohol,Oxygenated organics
273,"1,4-Dioxan",4380000.0,6.641474111,1330756-20-1,C1COCCO1,5.8,,https://d oi.o rg/1 0.1 021/a cs. estle tt. 6b004 44,alcohol,Oxygenated organics
274,Tetrahydrofuran,2600000000.0,9.414973348,131063-11-1,C1CCOC1,5.4,,https:// doi. org/ 10. 1039/ A9071 33D,alcohol,Oxygenated organics
275,Methyl chloride,230000000.0,8.361727836,4285-42-1,CCl,5.4,,https:// doi. org/ 10. 1039/ b1019 32p,alkane,Aliphatic hydrocarbons
276,Dichloromethane,4700000.0,6.672097858,143824-88-8,C(Cl)Cl,5.4,,https:// doi. org/ 10. 1039/ b1019 32p,alkane,Aliphatic hydrocarbons
277,Dichloromethane,9300000.0,6.968482949,143824-88-8,C(Cl)Cl,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
278,Trichloromethane,230000000.0,8.361727836,90143-35-4,C(Cl)(Cl)Cl,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
279,Trichloroethylene,190000000.0,8.278753601,39628-69-8,C(=C(Cl)Cl)Cl,,,https:// doi. org/ 10. 1021/ es060 7638,alkane,Aliphatic hydrocarbons
280,Tetrachloroethylene,280000000.0,8.447158031,32781-46-7,C(=C(Cl)Cl)(Cl)Cl,,,https:// doi. org/ 10. 1016/ 1010- 6030(94) 03903-8,alkane,Aliphatic hydrocarbons
281,Chloroacetone,9700000.0,6.986771734,78-95-5,CC(=O)CCl,,,https:// doi. org/ 10. 2495/ EURO9 91441,alkane,Aliphatic hydrocarbons
282,Chloroacetone,11000000.0,7.041392685,78-95-5,CC(=O)CCl,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
283,Chloroacetone,13000000.0,7.113943352,78-95-5,CC(=O)CCl,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
284,Dimethyl sulfoxide,6300000000.0,9.799340549,67-68-5,CS(=O)C,5–6,,https:// doi. org/ 10. 1021/ jp044 306u,"sulfide, disulfide",Sulfur-containing organics
285,Dimethyl sulfone,820000.0,5.913813852,67-71-0,CS(=O)(=O)C,5–6,,https:// doi. org/ 10. 1021/ jp044 306u,"sulfide, disulfide",Sulfur-containing organics
286,Methanesulfonate,490000.0,5.69019608,91419-94-2,CS(=O)(=O)[O-],5–6,,https:// doi. org/ 10. 1021/ jp044 306u,"sulfide, disulfide",Sulfur-containing organics
287,Benzene,12000000000.0,10.07918125,6998-50-1,C1=CC=CC=C1,2.5–3,,https:// doi. org/ 10. 1021/ jp992 9768,cyclo,Aromatic & PAHs
288,Toluene,18000000000.0,10.25527251,6933-23-9,CC1=CC=CC=C1,3–4,,https:// doi. org/ 10. 1021/ jp004 630z,cyclo,Aromatic & PAHs
289,"Benzoic acid, 4.2",18000000000.0,10.25527251,65-85-0,O=C(O)c1ccccc1,3–4,,https:// doi. org/ 10. 1021/ jp004 630z,benzene,Aromatic & PAHs
290,"Benzoic acid, 4.3",13500000000.0,10.13033377,65-85-0,O=C(O)c1ccccc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
291,Chlorobenzene,18000000000.0,10.25527251,12082-03-0,C1=CC=C(C=C1)Cl,3–4,,https:// doi. org/ 10. 1021/ jp004 630z,halogeneted,Halogenated organics
292,Nitrobenzene,10100000000.0,10.00432137,89059-37-0,C1=CC=C(C=C1)[N+](=O)[O-],7,,https:// doi. org/ 10. 1021/ acs. est. 0c055 96,halogeneted,Halogenated organics
293,"TMB (1,3,5-Trimethoxybenzene)",13300000000.0,10.12385164,621-23-8,COc1cc(OC)cc(OC)c1,3,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
294,"TMB (1,3,5-Trimethoxybenzene)",8300000000.0,9.919078092,621-23-9,COc1cc(OC)cc(OC)c1,3,, ,alcohol,Oxygenated organics
295,"3-Methylbenzoate, 4.27",1640000000.0,9.214843848,1999/4/7,Cc1cccc(C(=O)O)c1,7.2,,https://d oi.o rg/ 10. 1021/ acs. est. 8b068 96,cyclo,Aromatic & PAHs
296,"4-Fluorobenzoate, 4.14",792000000.0,8.898725182,456-22-4,O=C(O)c1ccc(F)cc1,7.2,,https://d oi.o rg/ 10. 1021/ acs. est. 8b068 96,benzene,Aromatic & PAHs
297,"2-Chlorobenzoate, 2.9",600000000.0,8.77815125,16887-75-5,O=C([O-])c1ccccc1Cl,7.2,,https://d oi.o rg/ 10. 1021/ acs. est. 8b068 96,benzene,Aromatic & PAHs
298,"2-Iodobenzoate, 2.86",385000000.0,8.58546073,16887-77-7,O=C([O-])c1ccccc1I,7.2,,https://d oi.o rg/ 10. 1021/ acs. est. 8b068 96,benzene,Aromatic & PAHs
299,"3-Cyanobenzoate, 3.6",63500000.0,7.802773725,1877-72-1,N#Cc1cccc(C(=O)O)c1,7.2,,https://d oi.o rg/ 10. 1021/ acs. est. 8b068 96,cyclo,Aromatic & PAHs
300,"3-Nitrobenzoate, 3.4",41800000.0,7.621176282,121-92-6,O=C(O)c1cccc([N+](=O)[O-])c1,7.2,,https://d oi.o rg/ 10. 1021/ acs. est. 8b068 96,cyclo,Aromatic & PAHs
301,"2,4,6-Tribromoanisole",71400000000.0,10.85369821,1219795-33-1,COC1=C(C=C(C=C1Br)Br)Br,,,https://d oi.o rg/1 0.1 016/j.c hemos phere.2 021.1 33034,alcohol,Oxygenated organics
302,"2,4,6-Tribromophenol",55400000000.0,10.74350976,1097192-97-6,C1=C(C=C(C(=C1Br)O)Br)Br,,,https://d oi.o rg/1 0.1 016/j.c hemos phere.2 021.1 33034,halogeneted,Halogenated organics
303,"2,4,6-Tribromophenolate",23600000000.0,10.372912,65800-38-6,C1=C(C=C(C(=C1Br)[O-])Br)Br,,,https://d oi.o rg/1 0.1 016/j.c hemos phere.2 021.1 33034,halogeneted,Halogenated organics
304,Dimethyl phthalate,18100000000.0,10.25767857,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
305,Dimethyl phthalate,18000000000.0,10.25527251,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,7,,https:// doi. org/ 10. 1016/j. cej. 2019. 122339,diol,Polyfunctional / highly functionalized
306,Diethyl phthalate,19700000000.0,10.29446623,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
307,Diethyl phthalate,20000000000.0,10.30103,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7,,https:// doi. org/ 10. 1016/j. cej. 2019. 122339,diol,Polyfunctional / highly functionalized
308,Dibutyl phthalate,19600000000.0,10.29225607,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,diol,Polyfunctional / highly functionalized
309,Dibutyl phthalate,20000000000.0,10.30103,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7,,https:// doi. org/ 10. 1016/j. cej. 2019. 122339,diol,Polyfunctional / highly functionalized
310,"Aniline, 4.63",40000000000.0,10.60205999,62-53-3,Nc1ccccc1,,, ,benzene,Aromatic & PAHs
311,"Aniline, 4.63",27400000000.0,10.43775056,62-53-3,Nc1ccccc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
312,p-Toluidine,27300000000.0,10.43616265,40825-60-3,CC1=CC=C(C=C1)N,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alkane,Aliphatic hydrocarbons
313,"4-Chloroaniline, 4.15",21700000000.0,10.33645973,106-47-8,Nc1ccc(Cl)cc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,benzene,Aromatic & PAHs
314,"Phenol, 10.0",1400000000.0,9.146128036,108-95-2,Oc1ccccc1,,,https:// doi. org/ 10. 1021/ es101 0225,alcohol,Oxygenated organics
315,"Phenol, 10.0",11200000000.0,10.04921802,108-95-2,Oc1ccccc1,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,alcohol,Oxygenated organics
