No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
115,"1,3-Dimethoxybenzene",9.8451,151-10-0,COC1=CC(=CC=C1)OC,,,https://doi.org/10.1016/j.jhazmat.2025.137910,diol,Polyfunctional / highly functionalized
116,"1,3-Dimethoxybenzene",9.84509804,151-10-0,COc1cccc(OC)c1,7,,10.1016/j.chemosphere.2018.12.156,alcohol,Oxygenated organics
117,"1,3-Dimethoxybenzene",9.84509804,27598-81-8,COc1cccc(OC)c1,,,https://doi.org/10.1021/acs.est.1c04326,alcohol,Oxygenated organics
118,"1,3-Dimethoxybenzene",9.84509804,151-10-0,COC1=CC(=CC=C1)OC,>4,,https://doi.org/10.1021/j100592a013,diol,Polyfunctional / highly functionalized
119,"1,3-Dimethyllumichrome",9.832508913,14684-48-1,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)N(C(=O)N3C)C,5.5,,NIST,alkane,Aliphatic hydrocarbons
120,"1,3-Dimethyluracil",9.740362689, 874-14-6,CN1C=CC(=O)N(C1=O)C,,,NIST,halogeneted,Halogenated organics
121,"1,3-Dimethyluracil",9.698970004, 874-14-6,CN1C=CC(=O)N(C1=O)C,,,NIST,halogeneted,Halogenated organics
122,"1,3-Dioxane",7.531478917,505-22-6,C1COCOC1,,,NIST,diol,Polyfunctional / highly functionalized
123,"1,3-Propanediol, diacetate",6.633468456,628-66-0,CC(=O)OCCCOC(=O)C,,,NIST,diol,Polyfunctional / highly functionalized
124,"1,3-dichloro-2-(dichloromethyl)benzene",8.301,81-19-6,C1=CC(=C(C(=C1)Cl)C(Cl)Cl)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138031,halogeneted,Halogenated organics
125,"1,3-dichloro-2-(dichloromethyl)benzene",8.301029996,56961-85-4,ClC(Cl)c1c(Cl)cccc1Cl,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
126,"1,3-dichloro-2-methylbenzene",8.602059991,1036587-85-5,Cc1c(Cl)cccc1Cl,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
127,"1,3-dichloro-2-methylbenzene",8.6021,118-69-4,CC1=C(C=CC=C1Cl)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138024,alkane,Aliphatic hydrocarbons
128,"1,3-dimethoxy-benzene",9.84509804,151-10-0,COc1cccc(OC)c1,7,20.0,10.1016/j.chemosphere.2018.12.156,alcohol,Oxygenated organics
129,"1,3-dimethoxy-benzene",9.8451,151-10-0,COC1=CC(=CC=C1)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138878,diol,Polyfunctional / highly functionalized
130,"1,3-dioxane",7.53529412,505-22-6,C1COCOC1,7,24.4,doi.org/10.1016/j.watres.2012.06.006,diol,Polyfunctional / highly functionalized
131,"1,3-dioxane",7.374748346,16731-95-6,C1COCOC1,7.5,9.1,doi.org/10.1016/j.watres.2012.06.006,diol,Polyfunctional / highly functionalized
132,"1,3–Dimethoxy-benzene",9.8451,151–10–0,COc1cccc(OC)c1,,,https://doi.org/10.4236/aim.2019.95029,alcohol,Oxygenated organics
