No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
547,ronidazole,0.06,-1.25,7681-76-7,Cn1c(COC(N)=O)ncc1[N+]([O-])=O,,,"(Qin et al., 2014)",halogeneted,Halogenated organics
548,iso-chlorotetracycline,224000.0,5.35,7301-38-4,CN(C)[C@H]1[C@@H]2C[C@@H](CC(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)[C@]3(C)OC(=O)c4c(O)ccc(Cl)c34,,,"(Wang et al., 2011)",diol,Polyfunctional / highly functionalized
549,Glycine methyl ester,43000.0,4.63,754970-50-8,COC(=O)CN,,,"(Deborde and von Gunten, 2008)",alcohol,Oxygenated organics
550,Glycine ethyl ester,68000.0,4.83,221080-32-6,CCOC(=O)CN,,,"(Deborde and von Gunten, 2008)",alcohol,Oxygenated organics
551,phosphoryl-serine,33000.0,4.52,918794-13-5,OC[C@@]1(C(O2)=O)NP12=O,,,"(Pattison et al., 2003)",diol,Polyfunctional / highly functionalized
552,Acid Orange II,23.48,1.37,633-96-5,O=C(O1)C2=C(C1(C(C=CC(O)=C3Br)=C3O4)C5=C4C(Br)=C(C=C5)O)C=CC=C2,,,"(Fu et al., 2017)",diol,Polyfunctional / highly functionalized
553,Methyl salicylate,4.7,0.67,550-97-0,COC(=O)c1ccccc1O,,,"(Real et al., 2015)",alcohol,Oxygenated organics
554,methylparaben,63.8,1.8,222545-59-7,COC(=O)c1ccc(O)cc1,,,"(Yoom et al., 2018)",alcohol,Oxygenated organics
555,cl-methylparaben,243.0,2.39,222545-59-7,COC(=O)c1ccc(O)c(Cl)c1,,,"(Yoom et al., 2018)",alcohol,Oxygenated organics
556,Br-methylparaben,168.0,2.23,222545-59-7,COC(=O)c1ccc(O)c(Br)c1,,,"(Yoom et al., 2018)",alcohol,Oxygenated organics
557,"Cl,Cl-methylparaben",1.3,0.11,1361497-78-0,COC(=O)c1cc(Cl)c(O)c(Cl)c1,,,"(Yoom et al., 2018)",alcohol,Oxygenated organics
558,"Br,Br-methylparaben",4.6,0.66,76901-11-6,COC(=O)c1cc(Br)c(O)c(Br)c1,,,"(Yoom et al., 2018)",alcohol,Oxygenated organics
559,"Br,Cl-methylparaben",2.9,0.46,118548-20-2,COC(=O)c1cc(Cl)c(O)c(Br)c1,,,"(Yoom et al., 2018)",alcohol,Oxygenated organics
560,Adenosine-5'-monophosphate (AMP),6.4,0.81,47287-36-5,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]3O,,,"(Deborde and von Gunten, 2008)",diol,Polyfunctional / highly functionalized
561,Chlorpyrifos,138.89,2.14,1794779-85-3,CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,,,"(Duirk and Collette, 2006)",alcohol,Oxygenated organics
562,dimethoate,650.0,2.81,1219794-81-6,CNC(=O)CS[P](=S)(OC)OC,,,"(Tian et al., 2014)","sulfide, disulfide",Sulfur-containing organics
563,malathion,107.3,2.03,347841-48-9,CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,,,"(Li et al., 2020)",diol,Polyfunctional / highly functionalized
564,diazinon,191.6,2.28,100155-47-3,CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,,,"(Acero et al., 2008)",alcohol,Oxygenated organics
565,glycinamide,370000.0,5.57,888498-22-4,NCC(N)=O,,,"(Deborde and von Gunten, 2008)",halogeneted,Halogenated organics
566,hydrochlorothiazide,0.05,-1.3,151063-30-8,N[S](=O)(=O)c1cc2c(NCN[S]2(=O)=O)cc1Cl,,,"(Deborde and von Gunten, 2008)","sulfide, disulfide",Sulfur-containing organics
567,β-N-methylamino-l-alanine,7.08,0.85,741643-07-2,CNC[C@H](N)C(O)=O,,,"(Yan et al., 2020)",halogeneted,Halogenated organics
568,"2,4-diaminobutyric acid",8.05,0.91,60484-56-2,NCCC(N)C(O)=O,,,"(Cao et al., 2019)",halogeneted,Halogenated organics
569,chlorfenvinfos,0.0,-2.4,18708-86-6,CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,,,"(Acero et al., 2008)",alcohol,Oxygenated organics
570,phosphoryl-ethanolamine,18000.0,4.26,3036-18-8,NCCO[P](O)(O)=O,,,"(Pattison et al., 2003)",phosphorus,Phosphorus-containing organics
