No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1067,Norchlorcyclizine,4.32,1189925-23-2,Clc1ccc([C@@H](c2ccccc2)N2CCNCC2)cc1,,,https://doi.org/10.1016/j.jece.2024.112473,cyclo,Aromatic & PAHs
1068,O2 •-,7.361727836,9054-89-1,[O][O-],3,,https://doi.org/10.1021/acs.est.1c07694,alcohol,Oxygenated organics
1069,O2 •-,9.176091259,9054-89-1,[O][O-],8.5,,https://doi.org/10.1021/acs.est.1c07694,alcohol,Oxygenated organics
1070,OH-,1.84509804,​14280-30-9​ ,[OH-],8.5,,https://doi.org/10.1021/acs.est.1c07694,alcohol,Oxygenated organics
1071,OH-,1.602059991,14280-30-9,[OH-],,,NIST,alcohol,Oxygenated organics
1072,OH-,1.681241237,14280-30-9,[OH-],11~13,,NIST,alcohol,Oxygenated organics
1073,OH-,1.84509804,​14280-30-9​ ,[OH-],3,,https://doi.org/10.1021/acs.est.1c07694,alcohol,Oxygenated organics
1074,Octanal,0.90309,99178-22-0,CCCCCCCC=O,5,,https://doi.org/10.1016/j.jece.2024.112473,alkane,Aliphatic hydrocarbons
1075,Octylphenol,5.09,27193-28-8,CCCCCCCCC1=CC=CC=C1O,7.3,,"http://://WOS:000270014100020,https://doi.org/10.1017/",cyclo,Aromatic & PAHs
1076,Octylphenol,4.62,27193-28-8,CCCCCCCCC1=CC=CC=C1O,2,,"http://://WOS:000270014100020,https://doi.org/10.1016/",cyclo,Aromatic & PAHs
1077,Octylphenol,5.22,27193-28-8,CCCCCCCCC1=CC=CC=C1O,7.9,,"http://://WOS:000270014100020,https://doi.org/10.1018/",cyclo,Aromatic & PAHs
1078,Octylphenol,5.51,27193-28-8,CCCCCCCCC1=CC=CC=C1O,9.1,,"http://://WOS:000270014100020,https://doi.org/10.1021/",cyclo,Aromatic & PAHs
