No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
191,6-aminopenicillanic,327000000.0,8.514547753,551-16-6,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics
192,7-aminocephalosporanic,229000000.0,8.359835482,957-68-6,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(N)C2SC1,7.0,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics
193,acetylacetone,142000000.0,8.152288344,90170-79-9,CC(=O)CC(=O)C,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
194,aniline,679000000.0,8.831869774,179938-55-7,C1=CC=C(C=C1)N,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
195,anisole,162000000.0,8.209515015,342-33-6,COC1=CC=CC=C1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
196,benzoic acid,2000000.0,6.301029996,183430-27-5,C1=CC=C(C=C1)C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
197,gallic acid,753000000.0,8.876794976,149-91-7,C1=C(C=C(C(=C1O)O)O)C(=O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
198,imidazole,182000000.0,8.260071388,717908-74-2,C1=CN=CN1,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
199,phenol,220000000.0,8.342422681,53379-77-4,C1=CC=C(C=C1)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
200,protocatechuic acid,590000000.0,8.770852012,868827-97-8,C1=CC(=C(C=C1C(=O)O)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
201,p-toluidine,947000000.0,8.976349979,40825-60-3,CC1=CC=C(C=C1)N,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
202,pyrimidine,1000000.0,6.0,767-79-3,C1=CN=CN=C1,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
203,pyrocatechol,566000000.0,8.752816431,3117-41-7,C1=CC=C(C(=C1)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
204,"TMBd (1,3,5-trimethoxybenzene)",2606000000.0,9.415974411,621-23-8,COc1cc(OC)cc(OC)c1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
205,"2,4-dimethoxypyrimidine",30000000.0,7.477121255,339275-88-6,COC1=NC(=NC=C1)OC,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
206,"4,6-dimethyl pyrimidine",5000000.0,6.698970004,14164-34-2,Cc1cc(C)nc(-c2ccccc2)n1,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
207,thiazole,39000000.0,7.591064607,1343085-95-9,C1=CSC=N1,7.0,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics
208,benzoic acid,2000000.0,6.301029996,183430-27-5,C1=CC=C(C=C1)C(=O)O,,,https://doi.org/10.1021/es4036094,halogeneted,Halogenated organics
